Date,Price,Open,High,Low,Vol.,Change %
2021-06-08,35456.0,37118.0,37355.5,35376.9,7.15M,-4.27%
2021-06-09,35970.5,35614.3,36168.3,34822.9,5.60M,1.45%
2021-06-10,34743.8,35970.5,36089.2,34743.8,5.61M,-3.41%
2021-06-11,35772.6,34822.9,35812.2,34427.2,8.04M,2.96%
2021-06-14,35535.2,36010.0,36089.2,35337.3,4.27M,-0.66%
2021-06-15,35535.2,35416.5,35733.0,34822.9,4.10M,0.00%
2021-06-16,35851.8,35376.9,36959.8,34981.2,5.30M,0.89%
2021-06-17,36326.6,35297.8,36682.8,35297.8,4.50M,1.32%
2021-06-18,36524.5,36603.6,36801.5,36168.3,4.02M,0.54%
2021-06-21,35614.3,36326.6,36405.8,35495.6,5.33M,-2.49%
2021-06-22,35614.3,35851.8,35970.5,35535.2,3.50M,0.00%
2021-06-23,35930.9,35535.2,36722.3,35535.2,3.24M,0.89%
2021-06-24,35772.6,35930.9,36326.6,35614.3,2.65M,-0.44%
2021-06-25,36049.6,35693.5,36405.8,35376.9,3.24M,0.77%
2021-06-28,37118.0,36405.8,37276.3,36128.8,8.41M,2.96%
2021-06-29,37118.0,37197.2,37909.5,36880.6,4.96M,0.00%
2021-06-30,37395.0,37118.0,37553.3,37078.5,5.03M,0.75%
2021-07-01,37434.6,37592.9,37711.6,37078.5,5.79M,0.11%
2021-07-02,37236.8,37592.9,37790.8,37118.0,5.29M,-0.53%
2021-07-05,36920.2,37236.8,37236.8,35772.6,4.39M,-0.85%
2021-07-06,34822.9,37118.0,38463.5,34822.9,8.67M,-5.68%
2021-07-07,36010.0,35218.6,36128.8,34506.3,4.96M,3.41%
2021-07-08,36247.5,36010.0,36524.5,35574.8,2.68M,0.66%
2021-07-09,35535.2,35772.6,36405.8,34822.9,4.51M,-1.97%
2021-07-12,33240.0,35297.8,35297.8,33081.7,7.57M,-6.46%
2021-07-13,33556.6,33635.8,33833.6,32883.9,2.49M,0.95%
2021-07-14,33714.9,33635.8,33794.0,32448.6,2.25M,0.47%
2021-07-15,33794.0,33279.6,34150.2,33240.0,2.26M,0.23%
2021-07-16,33635.8,33873.2,34031.5,33635.8,1.78M,-0.47%
2021-07-19,31380.2,32527.7,33160.9,31380.2,3.72M,-6.71%
2021-07-20,32448.6,31419.7,32448.6,30786.6,3.41M,3.40%
2021-07-21,32211.2,32765.2,32765.2,32052.9,1.46M,-0.73%
2021-07-22,32448.6,32132.0,32527.7,32132.0,2.14M,0.74%
2021-07-23,31815.5,32369.5,32844.3,31815.5,2.29M,-1.95%
